name,chinese,english,math,history,health
student1,86,52,68,94,100
student2,68,73,72,51,71
student3,51,65,73,57,100
student4,69,57,51,65,78
student5,77,52,71,79,86
student6,71,72,62,97,60
student7,79,72,70,91,62
student8,62,92,92,52,100
student9,90,86,77,73,78
student10,51,83,80,90,58
student11,66,80,93,62,76
student12,59,64,96,71,83
student13,69,99,59,91,67
student14,91,87,65,63,93
student15,77,79,80,84,100
student16,51,69,70,79,69
student17,67,86,65,74,82
student18,55,85,60,67,68
student19,81,91,83,53,88
student20,77,71,71,55,75
student21,66,77,66,81,85
student22,66,64,52,87,76
student23,68,71,65,50,59
student24,86,98,71,52,66
student25,87,95,92,96,85
student26,79,100,71,62,63
student27,96,85,60,54,76
student28,70,81,89,60,92
student29,59,60,86,73,64
student30,87,56,65,79,60
student31,54,51,81,61,91
student32,93,62,67,87,52
student33,61,76,54,65,84
student34,90,64,81,93,64
student35,77,81,84,86,61
student36,66,82,53,85,65
student37,56,87,89,62,66
student38,70,60,88,89,80
student39,94,62,51,59,83
student40,92,70,87,88,84
student41,91,93,89,75,72
student42,100,86,97,57,85
student43,60,53,88,57,74
student44,93,59,93,95,87
student45,94,82,98,100,90
student46,53,93,99,50,69
student47,65,57,94,73,83
student48,55,98,82,92,50
student49,86,85,80,90,88
student50,62,50,88,57,95
